total_debt_value,avg_parcel_value,max_debt_value,total_fines_only,total_ressarcimento_only,has_daily_fine,total_paid_amount,percent_paid_amount,n_installments,n_broken_installments,n_reopened_installments,perc_broken_installments,perc_failed_installments,is_civil_servant,n_processos,n_transitado_em_julgado,n_protests,n_failed_protests,perc_failed_protests,n_pge_handovers
249448.0,24314.285714285714,33904.0,249448.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,3,10,3,0,0.0,2
949201.9037,3477.994164516129,20780.0,928421.9036999999,20780.0,0,61116.7068,0.0643874675785693,12,116,38,9.666666666666666,12.833333333333334,0,4,149,5,0,0.0,1
154572.832,6819.415555555556,19659.84,152855.63199999998,1717.2,0,12490.43,0.08080611475113557,0,0,0,0.0,0.0,1,5,24,3,0,0.0,0
1452892.0224,3757.3530742049466,6058.73,1452892.0224,0.0,0,132382.75,0.09111671614888482,9,274,0,30.444444444444443,30.444444444444443,0,2,295,2,0,0.0,1
205700.0,4300.0,5000.0,205700.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,4,48,4,0,0.0,2
2300.0,2300.0,2300.0,2300.0,0.0,0,2300.0,1.0,0,0,0,0.0,0.0,0,1,0,0,0,0.0,0
492971.6642,1815.8825,16400.0,492971.66419999994,0.0,0,190556.81,0.3865471868636461,3,29,28,9.666666666666666,19.0,0,4,84,0,0,0.0,0
27111.71,8795.733333333334,12893.6,26387.2,724.51,0,600.0,0.022130658671105585,0,0,0,0.0,0.0,0,3,4,0,0,0.0,0
650095.2857,11970.0,11970.0,650095.2856999999,0.0,0,22856.13,0.03515812297483332,0,0,0,0.0,0.0,0,3,88,1,0,0.0,0
923260.39,2642.820354609929,13201.2,923260.39,0.0,0,54615.76,0.05915531586923165,32,135,0,4.21875,4.21875,1,4,44,2,0,0.0,3
101956.0,4290.181818181818,48000.0,53956.0,48000.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,4,1,0,0.0,1
210041.33,12045.778999999999,41251.57,156622.49,53418.84,0,883.83,0.004207886133648078,1,3,0,3.0,3.0,0,3,5,1,0,0.0,1
62828.0433,12540.0,22500.0,60859.643299999996,1968.4,0,1270.31,0.02021883753301609,0,0,0,0.0,0.0,0,3,7,0,0,0.0,0
418000.0,37200.0,41600.0,418000.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,10,1,0,0.0,2
152980.8,7776.711111111111,42156.4,152980.8,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,3,21,2,0,0.0,6
587900.0982,10329.7325,14272.86,587900.0982,0.0,0,12820.37,0.021807055381097402,0,0,0,0.0,0.0,0,3,58,3,0,0.0,3
209175.818,10673.826363636363,25800.0,154489.828,54685.99,0,0.0,0.0,0,0,0,0.0,0.0,0,10,27,2,0,0.0,4
194394.4566,3451.3676923076923,13327.08,181067.37660000002,13327.08,0,2847.52,0.0146481543239644,0,0,0,0.0,0.0,1,3,29,3,0,0.0,1
477310.5862,646.6877049180328,10000.0,438741.3599999999,38569.226200000005,0,465570.94,0.9754045970497689,2,42,42,21.0,42.0,0,4,84,0,0,0.0,0
3155718.67,1067.9116857142856,10438.4,3155440.41,278.26,0,3681653.46,1.1666608608048068,7,209,209,29.857142857142858,59.714285714285715,0,4,356,0,0,0.0,0
45448.0,10496.0,17528.0,45448.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,2,5,1,0,0.0,0
